query_worm,source_path,node_index,identity,candidate_covered,prediction_slot,prediction_identity,rank,correct,top5_correct,reciprocal_rank,target_probability,dustbin_top1,top1_with_dustbin_correct,hungarian_prediction_slot,hungarian_correct
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,4,RIVR,1,93,RIVR,1,1,1,1.0,0.9615209102630615,0,1,93,1
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,8,RMEV,1,105,RMEV,1,1,1,1.0,0.965278685092926,0,1,105,1
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,9,SMDDR,1,124,SMDDL,2,0,1,0.5,0.3197164535522461,0,0,124,0
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,15,SMDVR,1,128,SMDVR,1,1,1,1.0,0.7074715495109558,0,1,128,1
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,19,RID,1,88,RID,1,1,1,1.0,0.5353418588638306,0,1,88,1
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,20,AVAL,1,28,AVAL,1,1,1,1.0,0.9656156897544861,0,1,28,1
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,24,RMED,1,102,RMED,1,1,1,1.0,0.6907795071601868,0,1,102,1
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,34,SMDVL,1,126,SMDVL,1,1,1,1.0,0.9598260521888733,0,1,126,1
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,49,RIAL,1,86,RIAL,1,1,1,1.0,0.9655290842056274,0,1,86,1
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,61,RMDVR,1,110,SAAVR,9,0,0,0.1111111111111111,0.0004778951988555491,0,0,110,0
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,73,AFDR,1,7,AFDR,1,1,1,1.0,0.7707705497741699,0,1,7,1
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,81,CEPDR,1,50,CEPDR,1,1,1,1.0,0.5636647343635559,0,1,50,1
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,85,AVAR,1,29,AVAR,1,1,1,1.0,0.9657169580459595,0,1,29,1
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,88,RMDL,1,44,AWAL,3,0,1,0.3333333333333333,0.02858302928507328,0,0,44,0
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,112,SAAVR,1,82,OLQDR,6,0,0,0.16666666666666666,0.002919528167694807,0,0,81,0
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,113,RMDR,1,98,RMDR,1,1,1,1.0,0.5658989548683167,0,1,98,1
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,116,AWAR,1,45,AWAR,1,1,1,1.0,0.9037931561470032,0,1,45,1
20240902-15-36-41,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/test__20240902-15-36-41__6c56c3c3.npz,117,RIAR,1,4,ADFR,6,0,0,0.16666666666666666,0.00330609199590981,0,0,4,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,0,AVAR,1,29,AVAR,1,1,1,1.0,0.9577904939651489,0,1,29,1
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,1,ASGR,0,128,SMDVR,,0,0,0.0,,0,0,128,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,2,RMDDL,1,8,AIBL,6,0,0,0.16666666666666666,0.005449378862977028,0,0,8,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,3,RMDDR,1,32,AVEL,25,0,0,0.04,1.658778273849748e-06,0,0,32,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,4,ADER,1,78,NSMR?,7,0,0,0.14285714285714285,0.0018377724336460233,0,0,78,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,5,AIMR,1,62,IL1VL,42,0,0,0.023809523809523808,3.0468385375570506e-05,0,0,62,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,6,FLPR,1,108,RMGR,19,0,0,0.05263157894736842,0.00018381956033408642,0,0,108,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,7,RMEV,1,55,FLPR?,16,0,0,0.0625,0.0009256176999770105,0,0,55,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,8,VB2,1,129,SMDVR?,33,0,0,0.030303030303030304,1.6766109183663502e-05,1,0,129,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,9,RMER,1,104,RMER,1,1,1,1.0,0.9563046097755432,0,1,104,1
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,12,AIBR,1,9,AIBR,1,1,1,1.0,0.34859564900398254,1,0,9,1
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,13,AFDR,1,91,RIMR,2,0,1,0.5,0.16870558261871338,1,0,18,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,14,OLQVR,1,80,OLLR,12,0,0,0.08333333333333333,3.9433154597645625e-05,0,0,80,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,15,VB1,1,11,AIMR,4,0,1,0.25,0.005412336904555559,1,0,16,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,17,SMBDR,1,125,SMDDR,112,0,0,0.008928571428571428,4.0399243195557433e-13,0,0,125,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,22,SMDDR,1,36,AVHL,49,0,0,0.02040816326530612,3.067038676363154e-07,0,0,36,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,23,RMEL,1,103,RMEL,1,1,1,1.0,0.8031306266784668,0,1,103,1
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,24,OLQDR,1,82,OLQDR,1,1,1,1.0,0.9546831250190735,0,1,82,1
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,25,RMED,1,85,REMV,4,0,1,0.25,0.08476527035236359,0,0,85,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,28,RMDVR,1,7,AFDR,8,0,0,0.125,0.0028097745962440968,0,0,7,0
20221106-21-47-31,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_3/test/train__20221106-21-47-31__5317510b.npz,29,OLQDL,1,81,OLQDL,1,1,1,1.0,0.8016579747200012,0,1,81,1
