query_worm,source_path,node_index,identity,candidate_covered,prediction_slot,prediction_identity,rank,correct,top5_correct,reciprocal_rank,target_probability,dustbin_top1,top1_with_dustbin_correct,hungarian_prediction_slot,hungarian_correct
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,0,M1,1,80,M1,1,1,1,1.0,0.9561026692390442,0,1,80,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,1,NSML,1,141,URAVL,2,0,1,0.5,0.45663854479789734,0,0,141,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,2,ASGL,1,138,SMDVR,9,0,0,0.1111111111111111,0.0034776534885168076,0,0,138,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,3,FLPL,1,58,FLPL,1,1,1,1.0,0.911884605884552,0,1,58,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,4,AQR,1,19,AQR,1,1,1,1.0,0.892655074596405,0,1,19,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,5,ASER,1,21,ASER,1,1,1,1.0,0.5289583206176758,0,1,21,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,7,I1L,1,60,I1L,1,1,1,1.0,0.9394152164459229,0,1,60,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,9,AIBR,1,9,AIBR,1,1,1,1.0,0.9534520506858826,0,1,9,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,11,I2L,1,62,I2L,1,1,1,1.0,0.813286542892456,0,1,62,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,12,IL2DL,1,74,IL2DL,1,1,1,1.0,0.8730035424232483,0,1,74,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,14,RID,1,102,RID,1,1,1,1.0,0.9546694159507751,0,1,102,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,15,ADLL,1,4,ADLL,1,1,1,1.0,0.9011172652244568,0,1,4,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,17,AWCR,1,51,AWCR,1,1,1,1.0,0.8962168097496033,0,1,51,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,18,RMDL,1,113,RMDL,1,1,1,1.0,0.3583463728427887,1,0,113,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,19,AVAL,1,32,AVAL,1,1,1,1.0,0.5515536665916443,0,1,46,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,20,I6,1,2,ADEL,2,0,1,0.5,0.04690603166818619,0,0,2,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,21,URYVR,1,150,URYVR,1,1,1,1.0,0.9527698755264282,0,1,150,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,22,RMDVL,1,115,RMDVL,1,1,1,1.0,0.945952832698822,0,1,115,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,25,NSMR,1,86,MCR,2,0,1,0.5,0.07819017767906189,0,0,86,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,27,M3L,1,81,M3L,1,1,1,1.0,0.9248879551887512,0,1,81,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,29,AWBL,1,48,AWBL,1,1,1,1.0,0.6313043236732483,0,1,48,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,30,AVDL,1,36,AVDL,1,1,1,1.0,0.9478442072868347,0,1,36,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,31,IL1VL,1,56,CEPVL,2,0,1,0.5,0.21769189834594727,0,0,56,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,32,M4,1,83,M4,1,1,1,1.0,0.6293410658836365,0,1,83,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,33,IL2VR,1,79,IL2VR,1,1,1,1.0,0.9554459452629089,0,1,79,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,34,I2R,1,63,I2R,1,1,1,1.0,0.7290458083152771,0,1,63,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,40,M3R,1,82,M3R,1,1,1,1.0,0.9397853016853333,0,1,82,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,41,AUAL,1,30,AUAL,1,1,1,1.0,0.8942850828170776,0,1,30,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,44,URYDR,1,148,URYDR,1,1,1,1.0,0.7145784497261047,0,1,148,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,45,URXL,1,145,URXL,1,1,1,1.0,0.6894966959953308,0,1,145,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,46,CEPVR,1,56,CEPVL,12,0,0,0.08333333333333333,0.00017289267270825803,0,0,94,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,47,ADEL,1,2,ADEL,1,1,1,1.0,0.47361892461776733,0,1,100,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,48,AWCL,1,50,AWCL,1,1,1,1.0,0.9218332767486572,0,1,50,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,50,BAGL,1,52,BAGL,1,1,1,1.0,0.9562540054321289,0,1,52,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,51,IL1L,1,70,IL1L,1,1,1,1.0,0.8668282628059387,0,1,70,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,53,AVEL,1,38,AVEL,1,1,1,1.0,0.8260411620140076,0,1,38,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,59,IL2L,1,143,URBL,2,0,1,0.5,0.2607201933860779,0,0,143,0
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,60,RMEL,1,118,RMEL,1,1,1,1.0,0.6227551698684692,0,1,118,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,61,IL2VL,1,78,IL2VL,1,1,1,1.0,0.9482795596122742,0,1,78,1
2022-12-21-06,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_1/test/test__2022-12-21-06__886205ba.npz,62,ASEL,1,48,AWBL,3,0,1,0.3333333333333333,0.2288314402103424,0,0,24,0
