query_worm,source_path,node_index,identity,candidate_covered,prediction_slot,prediction_identity,rank,correct,top5_correct,reciprocal_rank,target_probability,dustbin_top1,top1_with_dustbin_correct,hungarian_prediction_slot,hungarian_correct
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,0,ASGR,1,24,ASGR,1,1,1,1.0,0.9367411732673645,0,1,24,1
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,1,IL2L,1,79,IL2L,1,1,1,1.0,0.9018781781196594,0,1,79,1
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,2,RID,1,106,RID,1,1,1,1.0,0.9599563479423523,0,1,106,1
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,3,FLPL,1,38,AVDL,15,0,0,0.06666666666666667,1.4989157534728292e-05,1,0,107,0
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,5,AVER,1,41,AVER,1,1,1,1.0,0.9533420205116272,0,1,41,1
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,7,OLQDR,1,96,OLQDL,3,0,1,0.3333333333333333,0.0003670400765258819,0,0,96,0
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,8,SMBDR,1,138,SMBVR,10,0,0,0.1,0.00044789171079173684,0,0,138,0
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,9,AIBL,1,9,AIBL,1,1,1,1.0,0.9529275298118591,0,1,9,1
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,11,AUAR,1,33,AUAR,1,1,1,1.0,0.8361154198646545,0,1,33,1
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,12,M5,1,88,M5,1,1,1,1.0,0.9592334032058716,0,1,88,1
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,13,OLQVR,1,154,URYVR,2,0,1,0.5,0.04739028960466385,1,0,99,1
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,15,MCL,1,89,MCL,1,1,1,1.0,0.9016157984733582,0,1,89,1
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,17,NSML,1,92,NSML,1,1,1,1.0,0.9596753716468811,0,1,92,1
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,19,IL2VL,1,81,IL2VL,1,1,1,1.0,0.9588007926940918,0,1,81,1
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,21,ASEL,1,21,ASEL,1,1,1,1.0,0.945396363735199,0,1,21,1
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,22,OLQDL,1,97,OLQDR,3,0,1,0.3333333333333333,0.013665582053363323,0,0,97,0
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,23,AIBR,1,10,AIBR,1,1,1,1.0,0.9581322073936462,0,1,10,1
2023-01-10-07,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_4/test/test__2023-01-10-07__af4d7d2d.npz,25,RIVL,1,114,RIVL,1,1,1,1.0,0.9586947560310364,0,1,114,1
