query_worm,source_path,node_index,identity,candidate_covered,prediction_slot,prediction_identity,rank,correct,top5_correct,reciprocal_rank,target_probability,dustbin_top1,top1_with_dustbin_correct,hungarian_prediction_slot,hungarian_correct
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,6,AVAL,1,27,AVAL,1,1,1,1.0,0.6195608973503113,0,1,27,1
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,23,SMDVR,1,47,AWBR,9,0,0,0.1111111111111111,0.0001352895487798378,1,0,47,0
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,35,SMDDL,1,124,SMDDL,1,1,1,1.0,0.5785514712333679,0,1,124,1
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,36,ADFR,1,26,ASKR,5,0,1,0.2,0.004369264468550682,1,0,26,0
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,38,AWAL,1,44,AWAL,1,1,1,1.0,0.21881447732448578,1,0,38,0
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,43,SAAVL,1,103,RMDVL,5,0,1,0.2,0.009631821885704994,0,0,103,0
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,50,RIVR,1,96,RIVR,1,1,1,1.0,0.9111837148666382,0,1,96,1
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,52,AVAR,1,28,AVAR,1,1,1,1.0,0.9569051265716553,0,1,28,1
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,62,RMEV,1,106,RMEL,34,0,0,0.029411764705882353,0.0002778964990284294,1,0,87,0
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,67,AWAR,1,112,SAAVL,24,0,0,0.041666666666666664,0.0013108117273077369,1,0,112,0
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,69,SMDVL,1,126,SMDVL,1,1,1,1.0,0.9567272067070007,0,1,126,1
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,72,SMDDR,1,125,SMDDR,1,1,1,1.0,0.718451976776123,0,1,125,1
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,73,RMDVR,1,40,AVJR,8,0,0,0.125,0.00035762638435699046,1,0,40,0
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,75,RIVL,1,95,RIVL,1,1,1,1.0,0.9521732926368713,0,1,95,1
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,86,RIAR,1,89,RIAR,1,1,1,1.0,0.9372761845588684,0,1,89,1
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,87,RMED,1,105,RMED,1,1,1,1.0,0.6571089029312134,0,1,105,1
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,90,ADFL,1,135,URXL,5,0,1,0.2,0.006826415657997131,0,0,135,0
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,104,RIAL,1,12,AINL,40,0,0,0.025,0.00023401743965223432,1,0,12,0
20240902-16-12-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-16-12-10__7647f7b0.npz,108,RMDR,1,23,ASER,6,0,0,0.16666666666666666,0.005839767400175333,1,0,23,0
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,5,RMEV,1,108,RMEV,1,1,1,1.0,0.9577630758285522,0,1,108,1
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,6,RIVL,1,95,RIVL,1,1,1,1.0,0.37882736325263977,1,0,95,1
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,8,RMED,1,105,RMED,1,1,1,1.0,0.9588066935539246,0,1,105,1
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,13,AVAR,1,28,AVAR,1,1,1,1.0,0.9442028403282166,0,1,28,1
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,19,RID,1,91,RID,1,1,1,1.0,0.7929056286811829,0,1,91,1
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,22,SMDDL,1,119,SMBDL,2,0,1,0.5,0.08834701776504517,1,0,119,0
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,27,SMDVL,1,126,SMDVL,1,1,1,1.0,0.8440102338790894,0,1,126,1
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,28,RMDL,1,100,RMDL,1,1,1,1.0,0.9248204231262207,0,1,100,1
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,30,AVER,1,33,AVER,1,1,1,1.0,0.7002010345458984,0,1,33,1
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,45,SMDDR,1,124,SMDDL,2,0,1,0.5,0.009935461916029453,1,0,124,0
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,52,SMDVR,1,49,BAGR,9,0,0,0.1111111111111111,0.001695584855042398,1,0,49,0
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,58,CEPDR,1,137,URXR,3,0,1,0.3333333333333333,0.07205871492624283,0,0,137,0
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,60,AVAL,1,27,AVAL,1,1,1,1.0,0.9596858620643616,0,1,27,1
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,75,RMDVL,1,24,ASGL,28,0,0,0.03571428571428571,0.00023622803564649075,1,0,109,0
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,80,RIVR,1,96,RIVR,1,1,1,1.0,0.3605998754501343,1,0,96,1
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,81,RMDDL,1,121,SMBDR,34,0,0,0.029411764705882353,8.03107104729861e-05,1,0,121,0
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,82,RMDVR,1,104,RMDVR,1,1,1,1.0,0.1922801285982132,1,0,23,0
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,89,RIAL,1,88,RIAL,1,1,1,1.0,0.4878825545310974,1,0,88,1
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,107,SAAVL,1,88,RIAL,3,0,1,0.3333333333333333,0.018561426550149918,0,0,25,0
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,109,RIAR,1,104,RMDVR,2,0,1,0.5,0.006510002538561821,0,0,104,0
20240902-18-51-10,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-18-51-10__65122831.npz,110,AWAL,1,44,AWAL,1,1,1,1.0,0.941288948059082,0,1,44,1
20240902-20-11-40,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-20-11-40__8e027d87.npz,0,AVAR,1,28,AVAR,1,1,1,1.0,0.9577657580375671,0,1,28,1
20240902-20-11-40,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-20-11-40__8e027d87.npz,7,SMDVR,1,128,SMDVR,1,1,1,1.0,0.9574885964393616,0,1,128,1
20240902-20-11-40,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-20-11-40__8e027d87.npz,8,RMEV,1,108,RMEV,1,1,1,1.0,0.9506731033325195,0,1,108,1
20240902-20-11-40,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-20-11-40__8e027d87.npz,10,SMDVL,1,126,SMDVL,1,1,1,1.0,0.9304717183113098,0,1,126,1
20240902-20-11-40,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-20-11-40__8e027d87.npz,16,RID,1,91,RID,1,1,1,1.0,0.8315001726150513,0,1,91,1
20240902-20-11-40,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-20-11-40__8e027d87.npz,23,RMED,1,105,RMED,1,1,1,1.0,0.957672655582428,0,1,105,1
20240902-20-11-40,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_2/test/test__20240902-20-11-40__8e027d87.npz,25,AVAL,1,27,AVAL,1,1,1,1.0,0.9577109813690186,0,1,27,1
