query_worm,source_path,node_index,identity,candidate_covered,prediction_slot,prediction_identity,rank,correct,top5_correct,reciprocal_rank,target_probability,dustbin_top1,top1_with_dustbin_correct,hungarian_prediction_slot,hungarian_correct
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,3,SMDVR,1,128,SMDVR,1,1,1,1.0,0.9568548798561096,0,1,128,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,7,RIVR,1,137,URXR,12,0,0,0.08333333333333333,0.0031175524927675724,1,0,138,0
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,9,RMEV,1,108,RMEV,1,1,1,1.0,0.9467340707778931,0,1,108,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,26,RID,1,91,RID,1,1,1,1.0,0.8095598816871643,0,1,91,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,33,AVAL,1,28,AVAL,1,1,1,1.0,0.9569507241249084,0,1,28,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,42,REMV,0,105,RMED,,0,0,0.0,,0,0,105,0
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,44,SMDDR,1,125,SMDDR,1,1,1,1.0,0.525030255317688,0,1,125,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,47,RIAL,1,86,RIAL,1,1,1,1.0,0.9221240282058716,0,1,86,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,52,AWAR,1,7,ADFR,88,0,0,0.011363636363636364,5.379454819376406e-07,0,0,7,0
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,58,CEPDR,1,50,CEPDL,4,0,1,0.25,0.04875728860497475,1,0,50,0
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,69,RMDR,1,101,RMDR,1,1,1,1.0,0.17995460331439972,1,0,94,0
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,80,AVAR,1,29,AVAR,1,1,1,1.0,0.9570953845977783,0,1,29,1
20240902-18-09-07,/home/ubuntu/klb/nuclr/nuclr/Data/Dunn_001623/cv5_grouped_v1/fold_1/test/test__20240902-18-09-07__95b23b60.npz,100,RMDVR,1,104,RMDVR,1,1,1,1.0,0.9299547672271729,0,1,104,1
