query_worm,source_path,node_index,identity,candidate_covered,prediction_slot,prediction_identity,rank,correct,top5_correct,reciprocal_rank,target_probability,dustbin_top1,top1_with_dustbin_correct,hungarian_prediction_slot,hungarian_correct
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,1,M3L,1,83,M3L,1,1,1,1.0,0.9537388682365417,0,1,83,1
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,2,OLQDR,1,95,OLQDR,1,1,1,1.0,0.9161531329154968,0,1,95,1
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,3,URAVR,1,127,SAADR,2,0,1,0.5,0.03419589623808861,0,0,127,0
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,4,OLLR,1,93,OLLR,1,1,1,1.0,0.5318310856819153,0,1,93,1
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,5,MCL,1,87,MCL,1,1,1,1.0,0.9195621013641357,0,1,87,1
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,6,OLQVL,1,96,OLQVL,1,1,1,1.0,0.9320356845855713,0,1,96,1
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,7,IL1L,1,72,IL1L,1,1,1,1.0,0.906745970249176,0,1,72,1
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,8,AVL,1,12,AIMR,3,0,1,0.3333333333333333,0.032844845205545425,0,0,12,0
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,10,BAGL,1,54,BAGL,1,1,1,1.0,0.9422087073326111,0,1,54,1
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,12,M3R,1,84,M3R,1,1,1,1.0,0.9419921636581421,0,1,84,1
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,13,RMDDR,1,114,RMDDR,1,1,1,1.0,0.9428616762161255,0,1,114,1
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,14,NSML,1,90,NSML,1,1,1,1.0,0.9355934858322144,0,1,90,1
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,15,AIBR,1,10,AIBR,1,1,1,1.0,0.7901515364646912,0,1,10,1
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,16,AWCL,1,52,AWCL,1,1,1,1.0,0.9295400381088257,0,1,52,1
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,17,ASGL,1,23,ASGL,1,1,1,1.0,0.8095855712890625,0,1,23,1
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,19,RIS,1,151,VB02,6,0,0,0.16666666666666666,0.00014291558181867003,0,0,151,0
2022-07-15-12,/home/ubuntu/klb/nuclr/nuclr/Data/Atanas_SF_unified_000776/cv5_grouped_v1/fold_2/test/train__2022-07-15-12__9b6ec5ed.npz,22,ASJL,1,100,RIBL,2,0,1,0.5,0.05352891609072685,0,0,100,0
